benchmark,setting,changed,full_wins_proxy,ablation_wins_proxy,net_gain_proxy
textvqa,without_consistency_module,31,8,5,-3
textvqa,without_answer_space_module,5,0,2,2
ocrvqa,without_consistency_module,15,2,1,-1
ocrvqa,without_answer_space_module,0,0,0,0
chartqa,without_consistency_module,39,9,6,-3
chartqa,without_answer_space_module,3,0,0,0
ocrbench,without_consistency_module,52,12,6,-6
ocrbench,without_answer_space_module,6,1,2,1
gqa,without_consistency_module,86,10,25,15
gqa,without_answer_space_module,12,1,2,1
ai2d,without_consistency_module,5,2,1,-1
ai2d,without_answer_space_module,0,0,0,0
mme_rw,without_consistency_module,51,6,10,4
mme_rw,without_answer_space_module,15,1,1,0
amber,without_consistency_module,96,18,21,3
amber,without_answer_space_module,24,1,2,1
coco,without_consistency_module,813,0,0,0
coco,without_answer_space_module,2,0,0,0
