JOBID	NAME	STATE	TIME	REASON
7585709	t1r-self_selector_mme_rw	PD	0:00	(QOSGrpGRES)
7585710	t1r-self_selector_ocrbench	PD	0:00	(QOSGrpGRES)
7585711	t1r-self_synthesizer_coco	PD	0:00	(QOSGrpGRES)
7585712	t1r-self_synthesizer_mme_rw	PD	0:00	(QOSGrpGRES)
7585713	t1r-self_synthesizer_ocrbench	PD	0:00	(QOSGrpGRES)
7585714	a2r-base_only_chartqa	PD	0:00	(QOSGrpGRES)
7585715	a2r-base_only_gqa	PD	0:00	(QOSGrpGRES)
7585716	a2r-base_only_ocrbench	PD	0:00	(QOSGrpGRES)
7585717	a2r-base_only_ocrvqa	PD	0:00	(QOSGrpGRES)
7585718	a2r-base_only_textvqa	PD	0:00	(QOSGrpGRES)
7585719	a2r-first_view_chartqa	PD	0:00	(QOSGrpGRES)
7585720	a2r-first_view_gqa	PD	0:00	(QOSGrpGRES)
7585721	a2r-first_view_ocrbench	PD	0:00	(QOSGrpGRES)
7585722	a2r-first_view_ocrvqa	PD	0:00	(QOSGrpGRES)
7585723	a2r-first_view_textvqa	PD	0:00	(QOSGrpGRES)
7585724	a2r-frequency_only_chartqa	PD	0:00	(QOSGrpGRES)
7585725	a2r-frequency_only_gqa	PD	0:00	(QOSGrpGRES)
7585726	a2r-frequency_only_ocrbench	PD	0:00	(QOSGrpGRES)
7585727	a2r-frequency_only_ocrvqa	PD	0:00	(QOSGrpGRES)
7585728	a2r-frequency_only_textvqa	PD	0:00	(QOSGrpGRES)
7585729	a2r-majority_vote_chartqa	PD	0:00	(QOSGrpGRES)
7585730	a2r-majority_vote_gqa	PD	0:00	(QOSGrpGRES)
7585731	a2r-majority_vote_ocrbench	PD	0:00	(QOSGrpGRES)
7585732	a2r-majority_vote_ocrvqa	PD	0:00	(QOSGrpGRES)
7585733	a2r-majority_vote_textvqa	PD	0:00	(QOSGrpGRES)
7585734	a2r-no_answer_space_chartqa	PD	0:00	(QOSGrpGRES)
7585735	a2r-no_answer_space_gqa	PD	0:00	(QOSGrpGRES)
7585747	a2r-no_answer_space_ocrbench	PD	0:00	(QOSGrpGRES)
7585749	a2r-no_answer_space_ocrvqa	PD	0:00	(QOSGrpGRES)
7585757	a2r-no_answer_space_textvqa	PD	0:00	(QOSGrpGRES)
7585758	a2r-no_base_bias_chartqa	PD	0:00	(QOSGrpGRES)
7585765	a2r-no_base_bias_gqa	PD	0:00	(QOSGrpGRES)
7585767	a2r-no_base_bias_ocrbench	PD	0:00	(QOSGrpGRES)
7585775	a2r-no_base_bias_ocrvqa	PD	0:00	(QOSGrpGRES)
7585776	a2r-no_base_bias_textvqa	PD	0:00	(QOSGrpGRES)
7585787	a2r-no_format_chartqa	PD	0:00	(QOSGrpGRES)
7585788	a2r-no_format_gqa	PD	0:00	(QOSGrpGRES)
7585798	a2r-no_format_ocrbench	PD	0:00	(QOSGrpGRES)
7585799	a2r-no_format_ocrvqa	PD	0:00	(QOSGrpGRES)
7585811	a2r-no_format_textvqa	PD	0:00	(QOSGrpGRES)
7585812	a2r-no_length_risk_chartqa	PD	0:00	(QOSGrpGRES)
7585826	a2r-no_length_risk_gqa	PD	0:00	(QOSGrpGRES)
7585831	a2r-no_length_risk_ocrbench	PD	0:00	(QOSGrpGRES)
7585832	a2r-no_length_risk_ocrvqa	PD	0:00	(QOSGrpGRES)
7585837	a2r-no_length_risk_textvqa	PD	0:00	(QOSGrpGRES)
7585838	a1r-frequency_only_chartqa	PD	0:00	(QOSGrpGRES)
7585849	a1r-frequency_only_gqa	PD	0:00	(QOSGrpGRES)
7585850	a1r-frequency_only_ocrbench	PD	0:00	(QOSGrpGRES)
7585855	a1r-frequency_only_ocrvqa	PD	0:00	(QOSGrpGRES)
7585706	t1r-self_consistency_mme_rw	PD	0:00	(QOSGrpGRES)
7585707	t1r-self_consistency_ocrbench	PD	0:00	(QOSGrpGRES)
7585708	t1r-self_selector_coco	PD	0:00	(QOSGrpGRES)
7585857	a1r-frequency_only_textvqa	PD	0:00	(QOSGrpGRES)
7585861	a1r-majority_vote_chartqa	PD	0:00	(QOSGrpGRES)
7585862	a1r-majority_vote_gqa	PD	0:00	(QOSGrpGRES)
7585870	a1r-majority_vote_ocrbench	PD	0:00	(QOSGrpGRES)
7585871	a1r-majority_vote_ocrvqa	PD	0:00	(QOSGrpGRES)
7585878	a1r-majority_vote_textvqa	PD	0:00	(QOSGrpGRES)
7585879	a1r-no_base_bias_chartqa	PD	0:00	(QOSGrpGRES)
7585885	a1r-no_base_bias_gqa	PD	0:00	(QOSGrpGRES)
7585886	a1r-no_base_bias_ocrbench	PD	0:00	(QOSGrpGRES)
7585897	a1r-no_base_bias_ocrvqa	PD	0:00	(QOSGrpGRES)
7585898	a1r-no_base_bias_textvqa	PD	0:00	(QOSGrpGRES)
7585917	a1r-no_format_chartqa	PD	0:00	(QOSGrpGRES)
7585943	a1r-no_format_gqa	PD	0:00	(QOSGrpGRES)
7585944	a1r-no_format_ocrbench	PD	0:00	(QOSGrpGRES)
7585952	a1r-no_format_ocrvqa	PD	0:00	(QOSGrpGRES)
7585953	a1r-no_format_textvqa	PD	0:00	(QOSGrpGRES)
7585966	a1r-no_length_risk_chartqa	PD	0:00	(QOSGrpGRES)
7585967	a1r-no_length_risk_gqa	PD	0:00	(QOSGrpGRES)
7585973	a1r-no_length_risk_ocrbench	PD	0:00	(QOSGrpGRES)
7585974	a1r-no_length_risk_ocrvqa	PD	0:00	(QOSGrpGRES)
7585989	a1r-no_length_risk_textvqa	PD	0:00	(QOSGrpGRES)
7586176	t1r-self_consistency_coco	PD	0:00	(QOSGrpGRES)
7586175	t1r-sample_rank_ocrbench	PD	0:00	(QOSGrpGRES)
