backbone,benchmark,setting_name,changed,default_wins,setting_wins,net
ovis2_2b,textvqa,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,141,38,37,-1
ovis2_2b,textvqa,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,179,57,37,-20
ovis2_2b,textvqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,158,45,36,-9
ovis2_2b,textvqa,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,141,38,37,-1
ovis2_2b,textvqa,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,141,38,37,-1
ovis2_2b,textvqa,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,142,37,37,0
ovis2_2b,textvqa,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,142,38,37,-1
ovis2_2b,textvqa,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,142,39,37,-2
ovis2_2b,textvqa,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,142,39,37,-2
ovis2_2b,ocrvqa,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,130,38,33,-5
ovis2_2b,ocrvqa,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,155,56,38,-18
ovis2_2b,ocrvqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,148,50,38,-12
ovis2_2b,ocrvqa,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,130,38,34,-4
ovis2_2b,ocrvqa,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,128,35,35,0
ovis2_2b,ocrvqa,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,125,33,34,1
ovis2_2b,ocrvqa,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,127,35,34,-1
ovis2_2b,ocrvqa,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,130,37,33,-4
ovis2_2b,ocrvqa,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,131,37,32,-5
ovis2_2b,chartqa,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,136,27,44,17
ovis2_2b,chartqa,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,186,65,42,-23
ovis2_2b,chartqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,156,44,43,-1
ovis2_2b,chartqa,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,135,26,44,18
ovis2_2b,chartqa,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,135,25,45,20
ovis2_2b,chartqa,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,134,26,44,18
ovis2_2b,chartqa,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,135,26,44,18
ovis2_2b,chartqa,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,139,31,44,13
ovis2_2b,chartqa,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,141,33,44,11
ovis2_2b,gqa,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,141,52,34,-18
ovis2_2b,gqa,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,190,66,40,-26
ovis2_2b,gqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,182,64,40,-24
ovis2_2b,gqa,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,141,52,34,-18
ovis2_2b,gqa,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,137,48,34,-14
ovis2_2b,gqa,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,136,46,34,-12
ovis2_2b,gqa,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,137,48,34,-14
ovis2_2b,gqa,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,142,53,34,-19
ovis2_2b,gqa,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,142,53,34,-19
