n,benchmark,ablation,changed,full_wins,ablation_wins,net,overlap,note
200,textvqa,frequency_only,6,0,0,0,200,ok
200,textvqa,majority_vote,0,0,0,0,200,ok
200,textvqa,no_format,0,0,0,0,200,ok
200,textvqa,no_base_bias,6,0,0,0,200,ok
200,textvqa,no_length_risk,0,0,0,0,200,ok
200,ocrvqa,frequency_only,9,5,0,5,200,ok
200,ocrvqa,majority_vote,0,0,0,0,200,ok
200,ocrvqa,no_format,0,0,0,0,200,ok
200,ocrvqa,no_base_bias,9,5,0,5,200,ok
200,ocrvqa,no_length_risk,0,0,0,0,200,ok
200,gqa,frequency_only,33,5,11,-6,200,ok
200,gqa,majority_vote,0,0,0,0,200,ok
200,gqa,no_format,7,0,2,-2,200,ok
200,gqa,no_base_bias,32,5,9,-4,200,ok
200,gqa,no_length_risk,0,0,0,0,200,ok
200,chartqa,frequency_only,NA,NA,NA,NA,NA,missing_ablation
200,chartqa,majority_vote,NA,NA,NA,NA,NA,missing_ablation
200,chartqa,no_format,NA,NA,NA,NA,NA,missing_ablation
200,chartqa,no_base_bias,4,1,0,1,200,ok
200,chartqa,no_length_risk,0,0,0,0,200,ok
200,ocrbench,frequency_only,7,1,1,0,200,ok
200,ocrbench,majority_vote,0,0,0,0,200,ok
200,ocrbench,no_format,0,0,0,0,200,ok
200,ocrbench,no_base_bias,NA,NA,NA,NA,NA,missing_ablation
200,ocrbench,no_length_risk,NA,NA,NA,NA,NA,missing_ablation
1000,textvqa,frequency_only,44,0,0,0,1000,ok
1000,textvqa,majority_vote,0,0,0,0,1000,ok
1000,textvqa,no_format,2,0,0,0,1000,ok
1000,textvqa,no_base_bias,NA,NA,NA,NA,NA,missing_ablation
1000,textvqa,no_length_risk,0,0,0,0,1000,ok
1000,ocrvqa,frequency_only,38,14,3,11,1000,ok
1000,ocrvqa,majority_vote,0,0,0,0,1000,ok
1000,ocrvqa,no_format,1,0,0,0,1000,ok
1000,ocrvqa,no_base_bias,NA,NA,NA,NA,NA,missing_ablation
1000,ocrvqa,no_length_risk,0,0,0,0,1000,ok
1000,gqa,frequency_only,NA,NA,NA,NA,NA,missing_ablation
1000,gqa,majority_vote,NA,NA,NA,NA,NA,missing_ablation
1000,gqa,no_format,NA,NA,NA,NA,NA,missing_ablation
1000,gqa,no_base_bias,NA,NA,NA,NA,NA,missing_ablation
1000,gqa,no_length_risk,NA,NA,NA,NA,NA,missing_ablation
1000,chartqa,frequency_only,37,10,6,4,1000,ok
1000,chartqa,majority_vote,NA,NA,NA,NA,NA,missing_ablation
1000,chartqa,no_format,0,0,0,0,1000,ok
1000,chartqa,no_base_bias,NA,NA,NA,NA,NA,missing_ablation
1000,chartqa,no_length_risk,0,0,0,0,1000,ok
1000,ocrbench,frequency_only,43,5,6,-1,1000,ok
1000,ocrbench,majority_vote,0,0,0,0,1000,ok
1000,ocrbench,no_format,1,1,0,1,1000,ok
1000,ocrbench,no_base_bias,NA,NA,NA,NA,NA,missing_ablation
1000,ocrbench,no_length_risk,0,0,0,0,1000,ok
